resultado,N,Média,Mediana,Moda,Desvio Padrão,Variância,Mínimo,Máximo,Amplitude,Q1 (25%),Q3 (75%),IQR,Coef. Variação (%),Assimetria (Skewness),Curtose,Erro Padrão,IC 95% (Inferior),IC 95% (Superior)
Negativo,25,33.608,32.5,31.3,3.246,10.537,30.0,40.8,10.8,31.3,34.5,3.2,9.658,1.059,-0.034,0.649,32.268,34.948
Positivo,95,23.152,22.8,21.2,3.84,14.747,14.0,29.2,15.2,20.6,26.2,5.6,16.587,-0.235,-0.79,0.394,22.369,23.934
