patogeno,N,Média,Mediana,Moda,Desvio Padrão,Variância,Mínimo,Máximo,Amplitude,Q1 (25%),Q3 (75%),IQR,Coef. Variação (%),Assimetria (Skewness),Curtose,Erro Padrão,IC 95% (Inferior),IC 95% (Superior)
COVID-19,66,24.705,23.95,21.2,5.342,28.535,15.6,40.4,24.8,21.2,28.625,7.425,21.623,0.457,-0.193,0.658,23.391,26.018
Influenza,54,26.094,26.05,26.1,5.973,35.676,14.0,40.8,26.8,21.625,29.15,7.525,22.89,0.417,-0.071,0.813,24.464,27.725
